device_id	user_id	device_name	bound_at
d663024f-d9ff-4421-b8ba-69a58bb7546f	69ZNMQ		2026-06-09T16:18:38.913Z
d93b3e9f-8687-457e-98fe-ddf51e88e3b4	TU46PT		2026-06-03T05:39:23.842Z
dcf6db23-b060-40a1-950b-b805523c205b	V8S67F		2026-06-13T08:21:16.860Z
de146e32-5453-4922-a33b-b6d4142aac23	3GTGV8		2026-06-01T02:05:08.103Z
df4c7470-a128-4fce-ab88-2f824f5879d5	7Y4C7C		2026-06-08T05:45:11.518Z
e0dd528f-214d-4451-842f-8c588a6e07af	HE7KXV		2026-06-07T10:03:06.897Z
eb129f29-6f80-43ef-86fa-4f9a52581bc9	45JSH3		2026-06-01T06:12:50.155Z
f1718051-df66-47e0-bea9-ca359d55f4d9	RHCCNG		2026-06-02T07:02:50.058Z
f977f29e-3f96-4f7d-a338-547f52ecb411	T8ZLYP		2026-05-31T14:37:25.073Z
fd2fa721-6876-45ec-9341-56f6ecd737da	KLLMTD		2026-06-02T08:47:03.537Z
